name, views1, likes1, dislikes1, views2, likes2, dislikes2, views3, likes3, dislikes3
Avatar,460500,1963,153,5861374,16658,918,5726388,41193,27832
Pirates of the Caribbean: At World's End,1496625,5837,98,69081,378,9,243187,1083,61
Spectre,15523389,33650,1601,8929882,29157,762,4380244,5097,182
The Dark Knight Rises,36894749,98031,3318,33576305,123433,3334,3357109,10496,234
John Carter,4011536,6124,499,5124349,5745,541,2375464,2265,194
Spider-Man 3,2939124,,,152946,759,30,-1,8225,1930
Tangled,4755567,4992,1045,2720127,3327,422,2229687,2618,524
Avengers: Age of Ultron,85854752,595472,13811,45756880,216491,6695,-1,,
Harry Potter and the Half-Blood Prince,615183,4374,71,5917048,12334,461,2034868,7521,209
Batman v Superman: Dawn of Justice,73254047,457780,19154,29112935,179949,15970,-1,6928,1796
Superman Returns,109898,684,26,1492973,4740,370,-1,634,121
Quantum of Solace,632409,1899,105,1404890,2108,109,17409,32,3
Pirates of the Caribbean: Dead Man's Chest,787739,1664,62,16417,78,1,19607,89,3
The Lone Ranger,8705153,19248,972,1458768,2695,157,-1,,
Man of Steel,44069262,165694,6825,40808132,132450,6601,-1,5385,1178
The Chronicles of Narnia: Prince Caspian,1251746,2861,229,2366828,3803,142,377613,1817,95
The Avengers,30914009,164975,3858,83913649,2546136,46450,-1,,
Pirates of the Caribbean: On Stranger Tides,11195231,27248,786,6772017,19502,530,-1,,
Men in Black 3,17625843,68937,1309,1092910,2650,110,102318,1291,400
The Hobbit: The Battle of the Five Armies,22304028,99120,2792,26843597,116645,3141,961481,4996,159
The Amazing Spider-Man,14287997,43770,4289,1130140,8760,705,292535,16279,4991
Robin Hood,13703898,48548,4245,1119155,2175,154,-1,665,88
The Hobbit: The Desolation of Smaug,14276555,61766,1645,7090377,27834,855,-1,1780,454
The Golden Compass,893153,1622,91,784258,2368,156,163735,436,108
King Kong,2493810,4069,424,14699723,62874,3150,-1,3693,934
Captain America: Civil War,28208229,99835,4475,81591081,692538,15333,1022545,2811,501
Battleship,5125247,9646,751,4079699,6613,575,4004597,4998,404
Jurassic World,88045349,329302,17053,29900070,120395,7174,-1,,
Skyfall,26761565,58087,2459,9687544,21444,704,650333,1467,83
Spider-Man 2,132193,60,4,16443123,265920,6407,-1,4569,1223
Iron Man 3,1475747,8520,307,28461568,82138,3944,-1,,
Alice in Wonderland,6065408,12660,681,1906374,2854,143,-1,,
X-Men: The Last Stand,-1,343,31,9466778,91343,4608,-1,945,377
Monsters University,3483536,9276,728,9791270,17707,2317,-1,,
Transformers: Revenge of the Fallen,4102390,6661,383,144582,533,17,809559,,
Transformers: Age of Extinction,10162531,25064,1384,3058925,9097,422,-1,7633,1718
Oz: The Great and Powerful,7186860,13275,793,1564018,4462,199,-1,,
The Amazing Spider-Man 2,15412712,63766,3159,37369947,132525,9404,1255095,8028,276
TRON: Legacy,12527726,25861,1135,1438405,3319,76,-1,,
Cars 2,30049906,19101,5003,10226756,5213,1796,-1,,
Green Lantern,3081339,4241,414,272261,656,64,878279,2375,205
Toy Story 3,9044177,9862,1904,4289061,4980,652,832063,2381,645
Terminator Salvation,733433,2987,138,409453,462,27,223327,,
Furious 7,70393731,329784,10144,18985681,86290,2655,3027180,8227,654
World War Z,12633943,36967,2307,488463,13243,717,-1,2797,874
X-Men: Days of Future Past,35407015,134030,6336,18726952,69134,2384,-1,3286,732
Star Trek Into Darkness,7009255,16432,808,1850758,5676,186,-1,2119,834
Jack the Giant Slayer,6415472,9887,980,1039800,1589,208,-1,1335,377
The Great Gatsby,19011872,52932,2412,3847350,15294,335,-1,4313,641
Prince of Persia: The Sands of Time,5108253,8187,450,44575,161,6,287049,557,29
Pacific Rim,20486861,64623,2929,9808675,88818,7441,-1,6408,1018
Transformers: Dark of the Moon,23177641,47784,2174,53011385,107940,6100,-1,6338,1857
Indiana Jones and the Kingdom of the Crystal Skull,65408,380,16,259790,909,28,7362509,48418,1168
The Good Dinosaur,18313929,43556,3311,9409258,20167,1821,428393,911,257
Brave,615808,1943,86,18449035,42918,3433,52288,278,16
Star Trek Beyond,18759796,67514,26893,4265059,23332,1158,2495057,9098,1272
WALL·E,773623,680,150,774276,1391,101,-1,,
Rush Hour 3,816355,2033,80,106747,228,11,6130799,31998,1236
2012,2499685,3990,565,4134870,7280,912,9874193,13563,2604
A Christmas Carol,3902407,6676,394,401544,633,51,-1,,
Jupiter Ascending,6147173,12584,982,7204905,15867,1584,3879596,7084,837
The Legend of Tarzan,34555653,127003,7137,14565991,53138,3542,-1,2006,346
The Chronicles of Narnia: The Lion, the Witch and the Wardrobe,2812006,5083,303,1226719,,,-1,,
X-Men: Apocalypse,54297497,280871,18297,31132398,144442,7796,-1,3923,619
The Dark Knight,162795,1378,16,8696412,55526,966,-1,4329,1253
Up,6235947,8004,662,1481457,2759,259,-1,,
Monsters vs Aliens,1999540,,,118897,164,27,-1,1660,443
Iron Man,3275221,14014,368,966556,1555,85,1061031,4267,190
Hugo,377856,1339,79,66374,246,13,12470,82,3
The Mummy: Tomb of the Dragon Emperor,669182,1118,92,372948,578,64,2249290,4384,392
Suicide Squad,87466346,675440,21236,41719839,219776,9285,17589580,110003,2771
Evan Almighty,223108,587,47,1158557,1449,143,11727472,39235,4207
Edge of Tomorrow,14409214,38854,2241,841843,3270,105,-1,2400,388
G.I. Joe: The Rise of Cobra,482186,1128,61,153382,117,14,-1,775,192
Inside Out,7727773,17427,1518,17936200,49339,2356,221020,491,80
The Jungle Book,14281980,32430,1919,8258574,32117,1115,-1,,
Iron Man 2,1061031,4267,190,1546632,4634,263,3526479,5248,176
Snow White and the Huntsman,881938,3257,138,1276067,4536,220,-1,882,191
Maleficent,18887861,52770,2708,1130806,4447,164,-1,,
Dawn of the Planet of the Apes,8690528,24363,1214,12036082,33753,1731,-1,3268,675
The Lovers,1544728,2146,389,464975,620,117,-1,18,5
